1K,16K,64K,256K,1M
7596712.0,2.91914E7,4.4043128E7,5.6625356E7,3.3951188E7
7814856.0,3.6760448E7,3.5465916E7,5.3370652E7,4.3090932E7
3166045.75,3.4554908E7,3.4034264E7,5.4188476E7,3.2425696E7
6452470.5,3.3478832E7,4.4254392E7,4.8429828E7,4.3073024E7
7837328.5,3.68322E7,4.6209184E7,5.3437632E7,4.5428292E7
5767015.5,2.6800916E7,4.707584E7,5.8945736E7,3.7348636E7
8539987.0,3.2930998E7,4.42261E7,5.9299224E7,4.745882E7
7999955.0,4.1856284E7,4.7439548E7,5.6926456E7,3.3714824E7
8746641.0,3.803054E7,2.975463E7,5.3489364E7,4.4539408E7
5095697.0,3.7091884E7,3.5237612E7,6.0881576E7,3.0046796E7
5331030.5,4.140824E7,4.2888348E7,2.7561852E7,4.9096004E7
7965240.0,1.9408438E7,4.7104296E7,5.5077396E7,4.77173E7
5651556.5,3.8441624E7,4.6538904E7,5.747046E7,3.8281928E7
6431393.5,2.7144376E7,3.7541504E7,5.5356612E7,5.0166148E7
2313249.0,3.4757192E7,4.1000244E7,5.7769228E7,4.6096424E7
8327733.0,3.8238696E7,3.4374364E7,5.4156416E7,4.3267808E7
8162112.5,3.888724E7,4.3631556E7,4.699026E7,4.875234E7
5015020.0,3.797282E7,4.597506E7,4.0473288E7,3.9129924E7
6826073.5,4.0107808E7,4.1839168E7,3.8251016E7,4.723216E7
5501316.0,4.145882E7,4.8991324E7,4.2071092E7,4.9230144E7
5595667.0,3.6912748E7,3.8930632E7,4.962366E7,4.972592E7
8569053.0,3.617144E7,3.795384E7,4.628184E7,5.3451752E7
8033218.5,3.9103952E7,4.0818896E7,4.2768428E7,4.4764852E7
3836877.25,2.9392076E7,3.7884712E7,5.1541032E7,5.4053064E7
7028108.0,3.5955516E7,4.7434188E7,4.9386556E7,5.7592564E7
7970604.5,3.787884E7,4.0261312E7,4.7472992E7,5.0456456E7
5926140.0,3.1331792E7,4.0906256E7,5.673748E7,4.5003968E7
8340701.0,3.6550248E7,3.753186E7,5736146.5,4.578672E7
8267968.0,2.9416036E7,4.067174E7,4.0044616E7,4.9965928E7
8255061.5,4.061522E7,4.046006E7,5.380768E7,5.2883948E7
8429969.0,4.4226116E7,3.6430488E7,5.921798E7,3.8882304E7
6961349.5,3.9169644E7,4.1900864E7,6.0429308E7,5.5664096E7
6231733.0,2.1364068E7,3.691164E7,4.6469608E7,5.3597112E7
6805031.0,3.771822E7,4.5026652E7,5.2404196E7,5.6063528E7
6595927.0,3.0545754E7,4.203116E7,4.6947304E7,5.680218E7
9013353.0,3.448128E7,3.875978E7,5.3082684E7,4.4598236E7
7676859.5,4.065994E7,5.179906E7,4.7147664E7,5.1476896E7
6198836.5,3.3089342E7,5.0245372E7,5.186892E7,5.029964E7
7376366.5,4.4911664E7,4.9759124E7,5.568924E7,5.3203556E7
7172623.5,4.231668E7,4.9659304E7,5.2737796E7,5.6621156E7
7302756.5,4.0032816E7,3.5264736E7,5.032046E7,3.9727684E7
2900076.25,4.0139544E7,4.570762E7,4.8404552E7,5.253948E7
7528584.0,2.6874822E7,3.5296988E7,5.8649328E7,5.6432208E7
221795.421875,3.9739752E7,5.0132456E7,5.7746272E7,5.1072692E7
7465606.0,4.4139816E7,4.7902564E7,5.3518288E7,5.8729224E7
7447974.0,4.035266E7,4.9152292E7,5.6980032E7,5.3643968E7
2774221.25,3.7079876E7,4.02513E7,5.83417E7,4.1330492E7
8022501.0,4.0795844E7,4.4536244E7,5.9682476E7,3.6251348E7
8016918.5,4.1675152E7,5.2945636E7,5.7960148E7,5.0027316E7
7352195.5,4.111954E7,4.8842692E7,4.9900412E7,4.935456E7
6846506.0,3.2156808E7,4.5677368E7,5.5221E7,4.7144044E7
6884795.5,2.353432E7,4.2183076E7,5.068622E7,5.0251508E7
7602695.0,3.4831744E7,5.056396E7,5.3680344E7,4.0542108E7
7833699.5,4.0613352E7,1.1428727E7,5.755552E7,4.976642E7
7699776.0,3.8322812E7,4.4786808E7,2.7751508E7,5.3266812E7
5586554.5,3.2094108E7,4.2613164E7,6.1577504E7,5.463084E7
6481751.0,4.1066792E7,4.0729216E7,5.4110336E7,4.0898952E7
