4 x 256KB,2 x 512KB,1 x 1024KB
250.6106719970703,199.727294921875,268.5636291503906
280.8443908691406,205.72802734375,227.27401733398438
299.1221923828125,200.7126922607422,229.14012145996094
244.7844696044922,214.91946411132812,216.56031799316406
219.4112548828125,256.7524108886719,271.2213134765625
256.2362365722656,213.72988891601562,219.73538208007812
235.98876953125,199.87843322753906,217.9459991455078
234.23019409179688,225.59283447265625,220.8372802734375
197.063232421875,216.08721923828125,643.908447265625
233.20924377441406,307.3723449707031,218.03790283203125
306.0338134765625,219.7776641845703,204.7264862060547
257.82708740234375,223.2784881591797,196.66860961914062
268.351806640625,217.87091064453125,237.56900024414062
255.89263916015625,228.31634521484375,217.03143310546875
234.40431213378906,210.97581481933594,208.3934783935547
294.9664611816406,264.1754150390625,209.4395751953125
253.96934509277344,248.6202392578125,214.14764404296875
240.7526092529297,245.32412719726562,266.7857360839844
258.317626953125,239.3817138671875,218.66639709472656
291.4582824707031,347.19354248046875,208.96531677246094
233.14111328125,214.14755249023438,210.6885986328125
229.05653381347656,207.63417053222656,207.89813232421875
227.04063415527344,270.2218017578125,215.31459045410156
249.59500122070312,329.1199035644531,249.15652465820312
305.50335693359375,201.8871612548828,231.92303466796875
239.34927368164062,227.9256134033203,230.1342315673828
339.63214111328125,286.1310119628906,242.8553009033203
265.42974853515625,222.03480529785156,221.41836547851562
215.91732788085938,255.35556030273438,218.6316680908203
241.61961364746094,206.0800323486328,192.2624053955078
323.07110595703125,208.1783447265625,201.14735412597656
245.0175323486328,204.1398162841797,256.88922119140625
225.2654571533203,213.6986541748047,202.1980438232422
213.9283905029297,197.4484100341797,203.78408813476562
298.1511535644531,205.62315368652344,198.5408477783203
235.04039001464844,247.7580108642578,268.5185241699219
243.61495971679688,193.2064208984375,215.2795867919922
216.1074676513672,210.27256774902344,220.93199157714844
335.652587890625,187.666015625,210.0850830078125
246.4330596923828,199.0966796875,270.70220947265625
306.1470947265625,269.7249450683594,213.5962371826172
230.9211883544922,226.857421875,199.6505584716797
349.2431335449219,213.2802276611328,205.5903778076172
260.54351806640625,215.01150512695312,260.8825378417969
247.5001983642578,208.19888305664062,212.95941162109375
212.58566284179688,243.9414520263672,214.74093627929688
229.1008758544922,197.7279510498047,201.09461975097656
316.6213684082031,200.9351806640625,209.412109375
274.77587890625,243.8804168701172,263.79180908203125
241.37229919433594,234.94834899902344,209.53416442871094
228.6701202392578,239.5229034423828,270.8270263671875
271.0076904296875,206.45669555664062,190.59494018554688
214.178955078125,187.83468627929688,239.71163940429688
230.8405303955078,216.73309326171875,212.29420471191406
194.48268127441406,203.31939697265625,175.9914093017578
203.9500732421875,198.3813018798828,204.21595764160156
207.28744506835938,279.4032287597656,189.95481872558594
241.1756591796875,236.30357360839844,252.7001190185547
202.38914489746094,229.70230102539062,188.146728515625
211.8499298095703,296.7519226074219,185.80860900878906
216.49644470214844,323.57763671875,203.7277069091797
209.34121704101562,239.19500732421875,180.84841918945312
219.72576904296875,228.331787109375,248.2983856201172
270.6543273925781,238.5200958251953,214.85707092285156
226.00564575195312,211.3795928955078,200.28085327148438
209.29766845703125,258.7922058105469,197.02023315429688
199.28736877441406,219.7412567138672,221.85231018066406
195.01071166992188,202.8086700439453,198.1785125732422
199.63063049316406,266.5954895019531,241.29598999023438
231.6949462890625,235.2869415283203,201.66802978515625
201.47694396972656,241.17782592773438,195.17295837402344
213.5897979736328,224.76565551757812,226.04742431640625
210.9146270751953,236.8800811767578,202.7716522216797
205.99032592773438,279.2155456542969,184.35165405273438
198.0390625,229.3888397216797,200.45016479492188
234.5814666748047,221.65875244140625,238.7650909423828
191.9132080078125,251.68922424316406,177.08126831054688
242.13031005859375,261.952392578125,174.27767944335938
254.28524780273438,266.355712890625,189.9742889404297
278.1839294433594,213.65267944335938,174.98194885253906
255.37368774414062,208.99325561523438,220.9911651611328
235.40541076660156,201.5630340576172,197.11231994628906
243.59622192382812,188.71070861816406,187.6342315673828
180.6888427734375,301.39398193359375,184.6334991455078
194.88121032714844,216.5183868408203,190.9102325439453
242.86819458007812,210.3778076171875,219.89559936523438
196.1071014404297,205.10023498535156,251.57835388183594
195.7853546142578,201.82838439941406,192.8921661376953
177.35409545898438,210.23880004882812,170.6856231689453
196.3323974609375,285.71734619140625,179.09483337402344
194.38731384277344,208.83663940429688,193.87271118164062
242.99404907226562,204.1188201904297,193.21556091308594
193.4125518798828,201.65151977539062,202.24623107910156
200.6487579345703,248.7891387939453,234.6818389892578
199.27439880371094,218.1214141845703,191.47299194335938
257.9372863769531,216.08303833007812,192.0745391845703
210.7557830810547,264.468505859375,183.3819122314453
194.4808807373047,197.29373168945312,188.2421417236328
204.6961669921875,216.14788818359375,177.4521942138672
204.9011993408203,224.0414581298828,188.0204620361328
266.24737548828125,220.37832641601562,171.2034149169922
187.498779296875,255.22898864746094,237.85906982421875
197.32449340820312,201.07518005371094,207.4910430908203
198.60934448242188,212.3237762451172,179.65853881835938
256.27337646484375,212.76321411132812,180.74818420410156
203.18594360351562,211.1815948486328,232.06126403808594
212.53164672851562,286.1838684082031,192.55177307128906
236.19749450683594,223.3181915283203,189.54946899414062
204.60853576660156,193.21722412109375,192.81890869140625
208.85470581054688,216.2985382080078,175.87750244140625
221.73587036132812,240.1988983154297,178.70571899414062
