1K,16K,64K,256K,1M
1.13210536E8,3.6545616E8,8.76651072E8,1.061033024E9,1.118928768E9
1.136454E8,5.24684768E8,9.01600256E8,1.046537344E9,1.136077952E9
1.11188944E8,4.59760832E8,8.2719936E8,1.075048832E9,1.14482752E9
1.13886136E8,3.65122592E8,8.66049216E8,1.045078336E9,1.123643648E9
1.13418552E8,3.71364992E8,9.12991872E8,1.05344416E9,1.144861312E9
1.06352432E8,5.21070816E8,8.1389728E8,1.061271872E9,1.123095424E9
1.13476472E8,4.60829504E8,8.76227392E8,1.041987136E9,1.150136064E9
1.1930896E8,3.6088544E8,8.5257056E8,1.068981888E9,1.118721408E9
1.1258092E8,5.76202816E8,8.67308544E8,9.83176192E8,1.145730176E9
1.11640776E8,5.19433312E8,8.69496704E8,1.070363904E9,1.123124096E9
1.1076528E8,4.58314848E8,7.5870912E8,1.058219456E9,1.145378688E9
1.12437872E8,5.39317952E8,9.21390976E8,1.046016512E9,1.12313024E9
1.12715432E8,5.06673856E8,7.58452928E8,1.056681856E9,1.150471296E9
1.59164704E8,4.63290016E8,9.02277696E8,1.059895232E9,1.142486016E9
1.17593104E8,3.67645344E8,8.70807552E8,1.045746048E9,1.153886336E9
1.09243048E8,5.15696512E8,8.6583712E8,1.057953088E9,1.123804544E9
1.068262E8,4.5983088E8,8.6357888E8,1.05804096E9,1.144877312E9
1.1549344E8,3.68014912E8,8.62956992E8,1.046258496E9,1.1405216E9
1.0976948E8,5.24047232E8,8.62806912E8,1.073431104E9,1.145081472E9
1.08636608E8,5.20369184E8,8.64089472E8,1.046104192E9,1.135338112E9
1.13512528E8,4.57080192E8,8.81231936E8,1.072527104E9,1.142488064E9
1.04480104E8,3.66092512E8,9.02326016E8,1.044531648E9,1.116623232E9
1.13910784E8,3.68358048E8,8.70377664E8,1.066629312E9,1.145128448E9
1.14309224E8,3.66151136E8,8.43228032E8,1.045746048E9,1.123365888E9
1.15872176E8,3.65020128E8,8.45081984E8,1.072571584E9,1.150502656E9
1.15570864E8,3.66500064E8,9.01717056E8,9.84392E8,1.142056704E9
1.16099512E8,3.60647872E8,8.33222656E8,1.067680064E9,1.13506304E9
1.12696368E8,3.6683872E8,8.70108992E8,1.062494592E9,1.123337216E9
1.12705264E8,3.66438784E8,9.00352128E8,1.044274816E9,1.144264064E9
1.06175152E8,3.65847232E8,8.29517312E8,1.056276416E9,1.122885376E9
1.29676456E8,3.66098368E8,8.57771968E8,1.061151808E9,1.144663808E9
1.36696048E8,3.7096976E8,8.66330624E8,1.042919424E9,1.124485504E9
1.49024624E8,3.66698272E8,9.07476992E8,1.074645888E9,1.144956288E9
1.11419368E8,3.67506848E8,8.719952E8,1.044637504E9,1.123694464E9
1.1609144E8,3.65516288E8,8.28593728E8,1.068460288E9,1.144286336E9
1.1242524E8,4.90364352E8,8.60371136E8,1.045220032E9,1.146207872E9
1.13538304E8,5.41522944E8,8.62572032E8,1.071731008E9,1.118001024E9
1.1199212E8,3.95936672E8,8.66993664E8,1.044449408E9,1.133039232E9
1.1468284E8,3.67495904E8,9.19918208E8,1.003227968E9,1.149217408E9
1.11046952E8,3.67005312E8,8.5590336E8,1.065822464E9,1.119338752E9
1.15995824E8,3.70157024E8,8.40856192E8,1.05757504E9,1.150936704E9
1.13576992E8,5.21024992E8,8.63734976E8,1.04831808E9,1.142145152E9
1.1201972E8,4.57917376E8,8.55333632E8,1.053333248E9,1.116018688E9
1.16196648E8,3.59639456E8,9.13667072E8,1.053641472E9,1.127731968E9
1.17138536E8,3.71379616E8,8.31511104E8,1.055647872E9,1.145696896E9
1.14429568E8,3.67465504E8,8.74473408E8,1.045952448E9,1.122979456E9
1.12857896E8,3.67192256E8,8.71844288E8,1.075050752E9,1.145115392E9
1.09277672E8,3.6365456E8,8.69048E8,1.043125504E9,1.080190848E9
1.14398152E8,3.6847088E8,7.6518592E8,1.053761152E9,1.145475456E9
1.15835928E8,5.10174784E8,9.01733632E8,1.062948096E9,1.13887808E9
1.07316864E8,5.21086048E8,8.69517952E8,1.042031744E9,1.124449408E9
1.08864864E8,4.36250208E8,8.75297408E8,1.07629952E9,1.13360576E9
1.14906864E8,3.67490016E8,8.5424448E8,1.041938432E9,1.14518208E9
1.08405784E8,3.70190432E8,8.6472928E8,1.056901312E9,1.139648512E9
1.35904656E8,5.2014592E8,8.65254208E8,1.05644032E9,1.143809408E9
1.10744424E8,5.22542816E8,8.73091904E8,1.049196224E9,1.11998848E9
1.1326568E8,4.58150784E8,8.7454272E8,1.044673216E9,1.144866432E9
1.13626032E8,3.59760768E8,7.63080256E8,1.059496512E9,1.13828736E9
1.11021064E8,5.25091136E8,9.12133056E8,1.057430912E9,1.143373824E9
1.13664776E8,5.19382688E8,8.59466496E8,1.048429248E9,1.145199488E9
1.046244E8,4.61052576E8,8.68428992E8,1.072762624E9,1.120179456E9
1.12984128E8,3.6480208E8,8.7944704E8,1.050925568E9,1.148125056E9
1.15570864E8,3.72072256E8,8.63964736E8,9.8266592E8,1.139635072E9
1.11783056E8,3.65311808E8,8.7544352E8,1.06844384E9,1.14446592E9
1.12831152E8,5.2693632E8,8.55398848E8,1.06023584E9,1.135708928E9
1.10521664E8,4.55385056E8,8.5992032E8,1.044185344E9,1.143342464E9
1.07454088E8,3.6813088E8,8.69800384E8,1.073919616E9,1.139896704E9
1.09938432E8,5.25570656E8,8.64177024E8,1.045412544E9,1.12121216E9
1.53527296E8,4.6019328E8,8.75659136E8,1.05359424E9,1.133494016E9
8.7366768E7,3.66819328E8,8.5152128E8,1.0620384E9,1.12761856E9
1.18042848E8,5.2348144E8,9.14324864E8,1.041883264E9,1.150557952E9
1.13467448E8,4.62222016E8,8.21113856E8,1.062049344E9,1.118488192E9
1.07266216E8,5.2650976E8,8.78750336E8,1.059422848E9,1.143974144E9
1.09869584E8,5.21011424E8,8.528864E8,1.047991424E9,1.124958976E9
1.11721856E8,4.6345776E8,8.78686336E8,1.067222464E9,1.150378752E9
1.23172432E8,3.68134272E8,7.54364672E8,1.046654144E9,1.119758976E9
1.14219144E8,3.71713536E8,9.13029632E8,1.068642752E9,1.146173184E9
1.14358896E8,5.25985312E8,8.57351424E8,1.046396672E9,1.144888704E9
1.0430792E8,5.31623264E8,8.77107584E8,1.05240352E9,1.137771776E9
1.14160464E8,5.32242208E8,8.52038208E8,1.062097856E9,1.14131904E9
1.12710344E8,4.6142752E8,8.64801728E8,1.041375168E9,1.139072128E9
1.14785528E8,5.29202048E8,8.59972352E8,1.05740992E9,1.139727872E9
1.16360248E8,5.24043808E8,8.85173568E8,1.060996544E9,1.118720896E9
1.11223568E8,5.05436608E8,8.7578848E8,1.051671104E9,1.145812864E9
1.1664256E8,3.65874016E8,9.02687488E8,1.046586176E9,1.123197312E9
1.1162832E8,3.67770432E8,8.79402304E8,1.055856448E9,1.128440064E9
1.0064108E8,3.66645344E8,8.13931456E8,1.060149376E9,1.146796288E9
1.16937176E8,5.27021376E8,8.62472064E8,1.051043328E9,1.119852672E9
1.13978304E8,5.2033872E8,8.56543616E8,1.047303808E9,1.133302016E9
1.12799336E8,4.57486592E8,8.6187392E8,1.049884224E9,1.145871488E9
1.14360208E8,3.67518688E8,8.77686208E8,1.074478592E9,1.122470528E9
1.11326344E8,3.70043168E8,8.49241088E8,1.044322944E9,1.1450976E9
1.12363336E8,3.67744224E8,8.86539584E8,1.041893824E9,1.12271616E9
1.1079596E8,5.19310208E8,8.51444288E8,1.066158464E9,1.145370624E9
1.13786352E8,4.59473024E8,8.79877504E8,1.057364032E9,1.144632448E9
1.13921168E8,3.68292768E8,8.51569984E8,1.046637952E9,1.118724352E9
1.17449464E8,3.70800416E8,9.18311808E8,1.04419808E9,1.127200896E9
1.0167044E8,5.20767232E8,8.43338112E8,1.061574656E9,1.145611904E9
1.05758552E8,4.5445248E8,8.92245888E8,1.055736256E9,1.1233824E9
1.11885608E8,3.7439424E8,8.67074688E8,1.049930752E9,1.150607104E9
