1K,16K,64K,256K,1M
6.0791384E7,4.64198656E8,7.39380928E8,1.05532544E9,1.142644608E9
8.5276208E7,6.8608864E8,7.36016256E8,1.035187904E9,1.139825024E9
8.6146E7,5.86579072E8,7.38827776E8,1.047977728E9,1.134578176E9
1.0704116E8,6.80428352E8,7.32741632E8,1.028765632E9,1.12338048E9
8.5521248E7,6.38816896E8,7.31814976E8,1.054850112E9,1.130197632E9
3.1464054E7,6.49134656E8,7.3841184E8,1.041026624E9,1.12221248E9
8.4186424E7,5.24490432E8,7.31054272E8,1.053193664E9,1.120005376E9
8.634236E7,7.03058752E8,7.36820416E8,1.05581856E9,1.121283456E9
8.7453104E7,6.2641184E8,7.33152128E8,1.037384704E9,1.121778816E9
8.6559848E7,6.15597696E8,7.3313696E8,1.0546528E9,1.138673152E9
8.9559192E7,7.2752736E8,7.28019776E8,1.036327296E9,1.144081024E9
8.5315496E7,6.26875712E8,7.39688576E8,1.052938496E9,1.13703488E9
8.9371888E7,5.52711424E8,7.39686848E8,1.056883392E9,1.14483264E9
6.8218408E7,7.88624064E8,7.46321728E8,1.0529792E9,1.138744064E9
1.1511984E8,4.84698656E8,7.08162816E8,1.05776864E9,1.144503424E9
8.7868832E7,5.61718848E8,8.44917888E8,1.051609792E9,1.144312192E9
8.6017064E7,7.857504E8,7.34345792E8,1.033689728E9,1.145112192E9
9.3467552E7,5.78435904E8,7.30752128E8,1.0523088E9,1.144846336E9
9.1857728E7,7.50941056E8,7.28294848E8,1.059492544E9,1.137790208E9
6.3383404E7,6.1332288E8,7.32029248E8,1.033477824E9,1.123809408E9
1.21225352E8,7.33823744E8,7.3072288E8,1.05447904E9,1.141828736E9
8.396376E7,5.8950528E8,7.37338176E8,1.053632768E9,1.144959616E9
8.709056E7,6.64948864E8,7.3292704E8,1.020420736E9,1.144558848E9
8.9580856E7,5.21871328E8,7.39145216E8,1.001083584E9,1.143544448E9
8.4618832E7,6.8065408E8,7.28954304E8,1.012935872E9,1.137314432E9
8.634908E7,6.28022336E8,7.81709888E8,1.054070976E9,1.12205952E9
9.1241704E7,6.6609216E8,7.35056E8,1.038690816E9,1.143369344E9
8.6827408E7,5.20706208E8,7.80117696E8,1.050949312E9,1.141541376E9
8.9006776E7,4.90096992E8,7.33258752E8,1.057982848E9,1.137496576E9
8.5492E7,5.3342224E8,7.79197312E8,1.050569728E9,1.128339968E9
7.2995896E7,5.19564864E8,7.26063168E8,1.033258432E9,1.142350336E9
1.61621376E8,6.80969856E8,7.87207872E8,1.05229152E9,1.138299904E9
1.00500488E8,4.7704944E8,7.33991232E8,1.026288128E9,1.142926976E9
9.9055016E7,6.85826944E8,7.78363456E8,1.051313152E9,1.12398336E9
9.0587096E7,5.99679936E8,7.33048832E8,1.026654912E9,1.141478016E9
7.623636E7,5.39601664E8,7.3026848E8,1.053142528E9,1.122900096E9
8.720144E7,5.29568096E8,7.3800736E8,1.051984512E9,1.139462784E9
8.8010352E7,6.62893696E8,7.3388352E8,1.034218432E9,1.14268352E9
8.8821776E7,4.64357664E8,7.30458496E8,1.050183168E9,1.142500096E9
8.5047032E7,6.82468672E8,7.30170176E8,1.033517056E9,1.13794624E9
8.757948E7,5.65630848E8,7.33156288E8,1.032346752E9,1.135467648E9
8.705872E7,5.83105216E8,7.38818432E8,1.055423296E9,1.1428736E9
8.7280592E7,5.27417472E8,7.36151744E8,1.036989696E9,1.1446016E9
8.7721608E7,6.955312E8,7.39998144E8,1.05484576E9,1.12246528E9
8.4221168E7,4.70361344E8,7.41826048E8,1.055304512E9,1.14219328E9
8.0761088E7,5.06085696E8,7.09377024E8,1.053602432E9,1.13624704E9
9.010064E7,6.61796928E8,8.4037696E8,1.057989824E9,1.122835328E9
8.7668536E7,4.67289696E8,7.3245568E8,1.051717376E9,1.140492544E9
8.6609336E7,6.6241888E8,7.28828096E8,1.034324608E9,1.140374784E9
9.7756488E7,6.42036544E8,7.31520512E8,1.053536896E9,1.137683712E9
6.3225512E7,5.3029824E8,7.27597632E8,1.054637184E9,1.137330432E9
1.29964656E8,5.68925312E8,7.3697312E8,1.035833408E9,1.123497216E9
8.2667176E7,5.72848384E8,7.29542592E8,1.05501664E9,1.14212864E9
8.280956E7,5.61240064E8,7.37422336E8,1.036440192E9,1.12316992E9
8.6698688E7,6.58840192E8,7.26315328E8,1.0540384E9,1.141385344E9
1.2956556E8,5.29431392E8,7.82624704E8,1.056635648E9,1.135444608E9
8.188264E7,5.55574848E8,7.35250176E8,1.05312608E9,1.14130496E9
8.5234056E7,5.5049216E8,7.81321536E8,1.033318912E9,1.140655104E9
8.692704E7,5.41827392E8,7.31065152E8,1.052154368E9,1.121796224E9
9.1906696E7,5.59336896E8,7.84782144E8,1.035001664E9,1.143173632E9
