1000 B,15.63 KB,62.5 KB,250.0 KB,976.56 KB
1.0292995E7,3.2172688E7,3.0469952E7,3.4560476E7,1750503.5
1.0295284E7,3.4310368E7,2.7065E7,5.221488E7,2135689.0
9245981.0,3.3408848E7,4.4793748E7,5.5895368E7,2215034.75
9861130.0,3.2425508E7,4.3779212E7,4.5122924E7,2212648.75
9407479.0,3.455254E7,7370762.5,4.5832216E7,2039000.625
1.0191997E7,3.2681832E7,5.6825832E7,2.4316452E7,2109208.25
4167389.0,2.7335076E7,5.7258228E7,3.2245286E7,2216654.0
4802772.0,3.3632076E7,2.5489392E7,5.2957692E7,4.0111892E7
5014500.5,3.4380168E7,7526610.0,5.6834548E7,2186101.25
4714332.5,3.3278152E7,4.1119928E7,5.2807552E7,2189107.5
1.038817E7,3.4763144E7,3.6555572E7,2.5085382E7,2224614.0
8476308.0,3.432654E7,5.746216E7,5.330352E7,2157792.0
7256626.0,3.4637312E7,2.8297528E7,4.893108E7,2197932.25
7625421.0,1.6164145E7,5.8100384E7,5.9138788E7,1129583.625
7667661.5,3.1771332E7,4.1350888E7,6.3279548E7,2182223.75
5384542.5,3.4071012E7,8986520.0,6.3934572E7,748298.5
1.0012831E7,3.2727488E7,5.7999956E7,5.8159988E7,3.2737014E7
5411374.0,3.3162894E7,6.0970716E7,6.0272504E7,2213618.25
7427340.5,3.3603192E7,3.1969522E7,5.9624024E7,2202855.5
8018233.5,1.6546989E7,5.8666352E7,5.4483612E7,2190019.75
4727282.0,3.3426066E7,4.3483668E7,5.718984E7,2182651.5
9986493.0,7441579.0,5.9289624E7,3.2429736E7,1499310.0
1.0467231E7,6869320.0,6.0168528E7,3.11016E7,5.6109456E7
9798768.0,1.9397104E7,8399971.0,6.28853E7,2190976.5
9792262.0,3.3380384E7,3.8452576E7,5.6979192E7,2216929.25
1.0267605E7,3.2617526E7,5.2104628E7,4.601594E7,2211646.5
9641440.0,3.3011784E7,3.6290036E7,2.5066764E7,2205107.75
1261584.125,3.4137672E7,3.40778E7,6.3301128E7,2194991.0
1924530.375,3.1863762E7,2.782409E7,6.0440768E7,1132424.5
9481630.0,3.2812814E7,6962833.0,2.564955E7,2179064.0
9645736.0,3.2934208E7,3.5741516E7,5.9748008E7,1503125.375
1.1209373E7,3.4167604E7,5.435082E7,2.7936836E7,1133121.375
1.0389794E7,1.9808862E7,3.7609216E7,4.3596028E7,2126694.5
8736497.0,2.6263838E7,4.4845132E7,2.8043718E7,1131502.625
1.05014E7,3.2844604E7,3.1883048E7,2.6843844E7,2193204.0
1.0099954E7,3.3958728E7,8971476.0,2.9557012E7,3.6407464E7
8199104.0,3.3890224E7,3.7633512E7,4.1321332E7,2192864.25
9972406.0,2.6556374E7,2.6668616E7,3.4504404E7,2228867.25
1.0053465E7,3.3543566E7,3.8260636E7,5.7188944E7,2176337.75
1.0104521E7,3.4765424E7,4.7855284E7,3.455056E7,2203698.5
9875958.0,3.4729824E7,5.6217504E7,6.1941548E7,4.4270232E7
9289307.0,3.3779716E7,4.3359724E7,3.1042586E7,2170742.5
7417684.5,3.4456012E7,7023470.5,6.2433232E7,2226783.0
9386811.0,3.4318288E7,1.5081824E7,5.9796508E7,2186150.0
9177793.0,2.8409726E7,3.9545152E7,5.5128916E7,2177718.5
9693275.0,3.0662702E7,2.823165E7,6.0447088E7,2169108.25
9191354.0,3.4606788E7,4.7911244E7,5.9654744E7,2145631.5
9204493.0,2.5060264E7,4.2342492E7,6.294378E7,2153241.0
9523837.0,3.3386162E7,3.9752156E7,5.8968088E7,2193924.0
9292195.0,3.3734392E7,5.6733832E7,5.621792E7,2182802.75
6575145.0,3.3570536E7,5.4181072E7,6.0059316E7,2164173.75
9967938.0,3.2446076E7,4.0058412E7,3.5458488E7,2214096.5
6538961.0,3.4007144E7,1.6359794E7,5.230634E7,2154536.25
8391416.0,3.3086246E7,5.6304336E7,5.3212568E7,2215703.5
9042045.0,3.0525076E7,4.1316004E7,5.0642168E7,2177725.25
8763286.0,3.3571056E7,5.5609132E7,5.9622112E7,2170578.25
9714336.0,3.089086E7,5.6501524E7,5.4840532E7,2190155.75
9495359.0,2.5105032E7,3.8799784E7,5.2556996E7,2185893.5
9656774.0,3.41229E7,3.4099276E7,5.9367224E7,2170516.75
8048914.5,3.3785228E7,4.9018508E7,5.6529964E7,2174628.5
9981698.0,3.424018E7,5.0988976E7,5.9435948E7,2203360.0
