1000 B,15.63 KB,62.5 KB,250.0 KB,976.56 KB
7.181328E7,4.24811648E8,9.3683264E8,1.65855104E9,2322916.0
6.9995416E7,4.39788768E8,9.08521728E8,1.715836032E9,2322853.75
7.4235464E7,3.82513856E8,9.05561216E8,1.720007552E9,2322644.0
7.4497328E7,4.27094336E8,9.03777408E8,1.715944192E9,2322868.75
7.4919272E7,4.0941136E8,9.02301824E8,1.71312064E9,2322893.5
7.6065296E7,4.11076448E8,9.10650304E8,1.721936768E9,2322793.75
7.3908736E7,4.03914944E8,8.7594016E8,1.715996544E9,2322905.25
7.4211776E7,4.10733472E8,9.01807296E8,1.714879232E9,2322911.0
7.146532E7,4.06573792E8,8.97430656E8,1.723141504E9,1162153.375
6.77672E7,4.17398208E8,9.09939392E8,1.719595136E9,1161940.0
6.1547364E7,4.2048112E8,9.14846336E8,1.730583808E9,929691.75
7.034624E7,4.46829376E8,8.98435392E8,1.680386432E9,580890.875
6.7611192E7,3.91200416E8,9.04030784E8,1.71631872E9,1161841.5
7.6380192E7,3.99941504E8,9.31969792E8,1.71449216E9,2322688.0
7.6118856E7,4.16076128E8,8.75834112E8,1.669393536E9,2322947.75
7.1250952E7,4.20761408E8,8.56203328E8,1.661468544E9,2322765.75
7.5985824E7,4.10032992E8,8.91390336E8,1.586660736E9,2322966.25
4.6948576E7,3.97132704E8,8.398912E8,1.701796736E9,1162205.0
6.0144588E7,4.11308416E8,8.65624E8,1.720224384E9,2322958.0
7.5088608E7,4.17844576E8,9.65424192E8,1.71645504E9,2322990.5
7.6055744E7,3.98793632E8,8.94130688E8,1.72098752E9,2322728.75
7.5461448E7,4.10937088E8,8.95688E8,1.721088256E9,2322963.75
7.9064824E7,3.88392896E8,9.16748544E8,1.722134784E9,2322933.0
7.9442312E7,3.90203424E8,9.33888E8,1.716737024E9,2322954.25
7.8935632E7,3.84671808E8,8.95190016E8,1.71720576E9,2322817.75
7.7567184E7,3.94507456E8,9.10274624E8,1.687959552E9,2322895.75
7.8163472E7,4.13229536E8,9.25630656E8,1.719916288E9,2322737.5
7.922612E7,4.27448608E8,8.65254784E8,1.726840192E9,2322905.5
7.9843184E7,4.30220864E8,9.11046912E8,1.732834176E9,2322931.0
7.8659024E7,4.24975264E8,9.28217536E8,1.73850688E9,2322847.0
7.6898528E7,4.1488128E8,9.28859456E8,1.698786048E9,2322720.0
